frequency_hz,level_db
1898.44,-77.45
1901.37,-71.14
1904.30,-71.11
1907.23,-77.02
1910.16,-73.31
1913.09,-69.65
1916.02,-72.95
1918.95,-76.70
1921.88,-73.00
1924.80,-73.62
1927.73,-75.02
1930.66,-76.55
1933.59,-76.63
1936.52,-75.13
1939.45,-74.95
1942.38,-74.18
1945.31,-74.27
1948.24,-75.50
1951.17,-74.14
1954.10,-72.73
1957.03,-73.18
1959.96,-78.34
1962.89,-76.84
1965.82,-74.05
1968.75,-77.29
1971.68,-88.95
1974.61,-78.90
1977.54,-75.96
1980.47,-76.91
1983.40,-78.92
1986.33,-77.76
1989.26,-74.74
1992.19,-72.87
1995.12,-75.55
1998.05,-75.08
2000.98,-72.50
2003.91,-71.50
2006.84,-73.86
2009.77,-74.05
2012.70,-71.69
2015.63,-73.95
2018.55,-74.68
2021.48,-71.67
2024.41,-72.28
2027.34,-72.82
2030.27,-72.39
2033.20,-70.54
2036.13,-69.15
2039.06,-69.74
2041.99,-71.07
2044.92,-70.23
2047.85,-69.40
2050.78,-72.43
2053.71,-73.46
2056.64,-70.49
2059.57,-71.05
2062.50,-73.79
2065.43,-72.84
2068.36,-71.20
2071.29,-72.99
2074.22,-73.22
2077.15,-72.71
2080.08,-74.00
2083.01,-72.43
2085.94,-71.44
2088.87,-74.38
2091.80,-76.55
2094.73,-72.09
2097.66,-72.34
2100.59,-76.45
2103.52,-74.42
2106.45,-72.66
2109.38,-75.94
2112.30,-79.53
2115.23,-75.23
2118.16,-75.95
2121.09,-83.30
2124.02,-78.42
2126.95,-73.34
2129.88,-74.61
2132.81,-78.64
2135.74,-72.84
2138.67,-71.20
2141.60,-75.22
2144.53,-78.37
2147.46,-73.23
2150.39,-72.59
2153.32,-76.02
2156.25,-78.43
2159.18,-74.71
2162.11,-74.35
2165.04,-74.77
2167.97,-75.84
2170.90,-74.38
2173.83,-72.55
2176.76,-74.33
2179.69,-77.93
2182.62,-74.52
2185.55,-74.82
2188.48,-81.60
2191.41,-82.33
2194.34,-79.54
2197.27,-81.45
2200.20,-84.96
2203.13,-83.21
2206.05,-83.16
2208.98,-89.08
2211.91,-86.50
2214.84,-82.66
2217.77,-82.16
2220.70,-83.05
2223.63,-84.34
2226.56,-78.23
2229.49,-78.12
2232.42,-85.66
2235.35,-84.10
2238.28,-76.95
2241.21,-78.48
2244.14,-84.93
2247.07,-84.37
2250.00,-82.25
2252.93,-76.10
2255.86,-74.43
2258.79,-76.71
2261.72,-72.36
2264.65,-68.67
2267.58,-70.07
2270.51,-71.24
2273.44,-68.92
2276.37,-68.84
2279.30,-71.19
2282.23,-71.35
2285.16,-70.15
2288.09,-70.90
2291.02,-72.51
2293.95,-70.33
2296.88,-71.21
2299.80,-74.09
2302.73,-73.09
2305.66,-74.79
2308.59,-80.27
2311.52,-81.06
2314.45,-81.45
2317.38,-82.70
2320.31,-77.81
2323.24,-77.12
2326.17,-79.45
2329.10,-75.90
2332.03,-76.64
2334.96,-77.31
2337.89,-73.98
2340.82,-78.33
2343.75,-81.87
2346.68,-82.27
2349.61,-84.29
